Date,Open,High,Low,Close,Adj Close,Volume
1/4/2010,11.49,11.69,11.47,11.58,7.493188,8096400
1/5/2010,11.6,11.66,11.46,11.53,7.460834,14375900
1/6/2010,11.56,11.61,11.38,11.49,7.434952,13608400
1/7/2010,11.41,11.44,11.07,11.11,7.189059,27346600
1/8/2010,11.14,11.22,11.03,11.1,7.18259,16895300
1/11/2010,11.15,11.24,10.88,11.04,7.143765,22214500
1/12/2010,10.88,10.93,10.61,10.7,6.923759,20863400
1/13/2010,10.71,11.01,10.71,10.98,7.104939,13482300
1/14/2010,11.01,11.01,10.86,10.87,7.033761,8692400
1/15/2010,10.94,10.94,10.56,10.6,6.859052,15426400
1/19/2010,10.68,10.99,10.61,10.96,7.091999,14898100
1/20/2010,10.9,10.91,10.71,10.8,6.988466,13604800
1/21/2010,10.86,10.93,10.56,10.59,6.85258,13943800
1/22/2010,10.51,10.55,10.09,10.09,6.529039,21017600
1/25/2010,10.09,10.39,10.09,10.15,6.567864,20606500
1/26/2010,10.16,10.18,9.95,10,6.470802,21913300
1/27/2010,10.03,10.14,9.94,9.99,6.46433,22963800
1/28/2010,10.18,10.2,9.89,10.05,6.503158,40246500
1/29/2010,10.24,10.37,10.1,10.16,6.574335,30073000
2/1/2010,10.14,10.29,9.92,10.08,6.522569,23074400
2/2/2010,10.08,10.08,9.9,9.96,6.444921,18259200
2/3/2010,9.98,10.14,9.92,10.06,6.509629,14829600
2/4/2010,10.02,10.05,9.6,9.68,6.263736,18370700
2/5/2010,9.6,9.71,9.4,9.56,6.186088,33731000
2/8/2010,9.7,9.74,9.43,9.61,6.218441,25173000
2/9/2010,9.7,9.82,9.55,9.6,6.21197,29316300
2/10/2010,9.6,9.73,9.51,9.7,6.276678,17525600
2/11/2010,9.74,9.91,9.6,9.89,6.399623,13726100
2/12/2010,9.79,9.85,9.65,9.71,6.283148,13563900
2/16/2010,9.75,9.92,9.72,9.91,6.412564,9532800
2/17/2010,9.95,10.06,9.9,10.02,6.483744,13959400
2/18/2010,10.06,10.1,9.91,10.06,6.509629,5162700
2/19/2010,10.05,10.09,9.92,10.02,6.483744,8055100
2/22/2010,10.03,10.09,9.98,10,6.470802,8422700
2/23/2010,10.03,10.03,9.78,9.85,6.373739,18118100
2/24/2010,9.85,9.96,9.75,9.82,6.354328,13237600
2/25/2010,9.75,9.79,9.56,9.75,6.309031,18311800
2/26/2010,9.73,9.78,9.64,9.75,6.309031,9389800
3/1/2010,9.91,10,9.89,9.95,6.438447,13623900
3/2/2010,10.02,10.1,9.9,9.95,6.438447,12070900
3/3/2010,10.06,10.07,9.81,9.86,6.380213,13229000
3/4/2010,9.77,9.91,9.75,9.87,6.386682,21949000
3/5/2010,9.99,10.15,9.96,10.13,6.554923,17723700
3/8/2010,10.19,10.25,10.15,10.23,6.619632,16149800
3/9/2010,10.19,10.34,10.16,10.25,6.632572,14016900
3/10/2010,10.24,10.5,10.21,10.34,6.690809,12284500
